"","intercept","exposure","log_scale","param","model"
"1",5.11360625976223,-0.408422908380812,-0.583263696813292,"coef","full"
"2",0.0584939905921701,0.0280946579781567,0.039496229954453,"se","full"
"3",5.11087459610979,-0.423477878594991,-0.593932306551295,"coef","weighted"
"4",0.0578614815663082,0.0277587379418251,0.0389129677048064,"se","weighted"
"5",NA,0.731304079404195,NA,"coef","coxfull"
"6",NA,0.0424163077071006,NA,"se","coxfull"
"7",NA,0.767159669502733,NA,"coef","coxweighted"
"8",NA,0.0568070656507746,NA,"se","coxweighted"
"9",5.05363593040123,-0.36244737506338,-0.625255911240385,"coef","full"
"10",0.0560695639386552,0.02733477533003,0.0398440151181192,"se","full"
"11",5.02735574796383,-0.356419088091686,-0.646888928516128,"coef","weighted"
"12",0.0548455363196528,0.0252423152350568,0.0401165496836811,"se","weighted"
"13",NA,0.677056799288788,NA,"coef","coxfull"
"14",NA,0.0442361724432089,NA,"se","coxfull"
"15",NA,0.680747901203041,NA,"coef","coxweighted"
"16",NA,0.0584902464046873,NA,"se","coxweighted"
"17",5.17085984769784,-0.429736047044702,-0.57227722299034,"coef","full"
"18",0.0626910283880747,0.0303709690307621,0.0406732285490512,"se","full"
"19",5.17356707968062,-0.394072578825467,-0.571353505300829,"coef","weighted"
"20",0.0594411614927363,0.0263606780944879,0.038455633378844,"se","weighted"
"21",NA,0.760030421883928,NA,"coef","coxfull"
"22",NA,0.0451259167457523,NA,"se","coxfull"
"23",NA,0.696456644905809,NA,"coef","coxweighted"
"24",NA,0.0574195791626825,NA,"se","coxweighted"
"25",5.11539075813534,-0.399064794690108,-0.602193211105487,"coef","full"
"26",0.0598898091710586,0.0296517102955147,0.0408171703387121,"se","full"
"27",5.12270656922305,-0.405941852634626,-0.601181347263542,"coef","weighted"
"28",0.0577569766353266,0.0284388959325234,0.0390836733296485,"se","weighted"
"29",NA,0.727862704671548,NA,"coef","coxfull"
"30",NA,0.0462763545902658,NA,"se","coxfull"
"31",NA,0.74014784411686,NA,"coef","coxweighted"
"32",NA,0.0630897068599819,NA,"se","coxweighted"
"33",5.10513507144894,-0.384434582555982,-0.656947282873957,"coef","full"
"34",0.0608443549809077,0.027383998113281,0.0422029848872633,"se","full"
"35",5.092557030643,-0.392316851989989,-0.656272972433039,"coef","weighted"
"36",0.0579092489516648,0.024471421361756,0.0413154237993642,"se","weighted"
"37",NA,0.740913901947169,NA,"coef","coxfull"
"38",NA,0.0437420234956994,NA,"se","coxfull"
"39",NA,0.757095781001875,NA,"coef","coxweighted"
"40",NA,0.062569796802573,NA,"se","coxweighted"
"41",5.08858554024251,-0.39715216246102,-0.615118337265252,"coef","full"
"42",0.0579358305332513,0.028199544831854,0.0400912110481894,"se","full"
"43",5.08952990036287,-0.353646538733671,-0.617836852734331,"coef","weighted"
"44",0.0552743055011194,0.0243740913240489,0.038165235946254,"se","weighted"
"45",NA,0.733782952874656,NA,"coef","coxfull"
"46",NA,0.0441379996470496,NA,"se","coxfull"
"47",NA,0.655643616567986,NA,"coef","coxweighted"
"48",NA,0.0543551963631764,NA,"se","coxweighted"
"49",5.09150503391894,-0.359210664926296,-0.582463640769476,"coef","full"
"50",0.0575670738990168,0.0274081165996048,0.0397602583824968,"se","full"
"51",5.08916648337202,-0.357090008543633,-0.5879750392047,"coef","weighted"
"52",0.0568745418313449,0.025635541442857,0.0393743508810638,"se","weighted"
"53",NA,0.64351927093138,NA,"coef","coxfull"
"54",NA,0.0426264967097118,NA,"se","coxfull"
"55",NA,0.642779000215616,NA,"coef","coxweighted"
"56",NA,0.053914379852177,NA,"se","coxweighted"
"57",5.16321422376415,-0.423857396183277,-0.570074645749835,"coef","full"
"58",0.0622366183718092,0.0299130563358077,0.0406246343089258,"se","full"
"59",5.15202013490035,-0.408661184671033,-0.575372764626974,"coef","weighted"
"60",0.0611251062611194,0.0274743420856421,0.0408422051060611,"se","weighted"
"61",NA,0.749554463011206,NA,"coef","coxfull"
"62",NA,0.0445574505968464,NA,"se","coxfull"
"63",NA,0.727507442334929,NA,"coef","coxweighted"
"64",NA,0.0611949925757245,NA,"se","coxweighted"
"65",4.9643998166642,-0.361041176454678,-0.678936997193885,"coef","full"
"66",0.0503418359680868,0.0250063461396782,0.0384993603185502,"se","full"
"67",4.96017377910612,-0.379778913137274,-0.686548591008028,"coef","weighted"
"68",0.0490389611921798,0.0247032728496783,0.0377432202037146,"se","weighted"
"69",NA,0.710975237410331,NA,"coef","coxfull"
